RowID,Letter,Level,Term,SeeAlso,NonEssModif,PoisoningAccidental,PoisoningIntentionalSelfHarm,PoisoningAssault,PoisoningUndetermined,AdverseEffect,Underdosing
1,#,0,1-propanol,,,T51.3X1,T51.3X2,T51.3X3,T51.3X4,--,--
2,#,0,2-propanol,,,T51.2X1,T51.2X2,T51.2X3,T51.2X4,--,--
3,#,0,"2,4-D",,(dichlorophen-oxyacetic acid),T60.3X1,T60.3X2,T60.3X3,T60.3X4,--,--
4,#,0,"2,4-toluene diisocyanate",,,T65.0X1,T65.0X2,T65.0X3,T65.0X4,--,--
5,#,0,"2,4,5-T",,(trichloro-phenoxyacetic acid),T60.1X1,T60.1X2,T60.1X3,T60.1X4,--,--
6,#,0,"3,4-methylenedioxymethamphetamine",,,T43.641,T43.642,T43.643,T43.644,--,--
7,#,0,14-hydroxydihydro-morphinone,,,T40.2X1,T40.2X2,T40.2X3,T40.2X4,T40.2X5,T40.2X6
8,A,0,ABOB,,,T37.5X1,T37.5X2,T37.5X3,T37.5X4,T37.5X5,T37.5X6
9,A,0,Abrine,,,T62.2X1,T62.2X2,T62.2X3,T62.2X4,--,--
10,A,0,Abrus,,(seed),T62.2X1,T62.2X2,T62.2X3,T62.2X4,--,--
11,A,0,Absinthe,,,T51.0X1,T51.0X2,T51.0X3,T51.0X4,--,--
12,A,1,beverage,,,T51.0X1,T51.0X2,T51.0X3,T51.0X4,--,--
13,A,0,Acaricide,,,T60.8X1,T60.8X2,T60.8X3,T60.8X4,--,--
14,A,0,Acebutolol,,,T44.7X1,T44.7X2,T44.7X3,T44.7X4,T44.7X5,T44.7X6
15,A,0,Acecarbromal,,,T42.6X1,T42.6X2,T42.6X3,T42.6X4,T42.6X5,T42.6X6
16,A,0,Aceclidine,,,T44.1X1,T44.1X2,T44.1X3,T44.1X4,T44.1X5,T44.1X6
17,A,0,Acedapsone,,,T37.0X1,T37.0X2,T37.0X3,T37.0X4,T37.0X5,T37.0X6
18,A,0,Acefylline piperazine,,,T48.6X1,T48.6X2,T48.6X3,T48.6X4,T48.6X5,T48.6X6
19,A,0,Acemorphan,,,T40.2X1,T40.2X2,T40.2X3,T40.2X4,T40.2X5,T40.2X6
20,A,0,Acenocoumarin,,,T45.511,T45.512,T45.513,T45.514,T45.515,T45.516
21,A,0,Acenocoumarol,,,T45.511,T45.512,T45.513,T45.514,T45.515,T45.516
22,A,0,Acepifylline,,,T48.6X1,T48.6X2,T48.6X3,T48.6X4,T48.6X5,T48.6X6
23,A,0,Acepromazine,,,T43.3X1,T43.3X2,T43.3X3,T43.3X4,T43.3X5,T43.3X6
24,A,0,Acesulfamethoxypyridazine,,,T37.0X1,T37.0X2,T37.0X3,T37.0X4,T37.0X5,T37.0X6
25,A,0,Acetal,,,T52.8X1,T52.8X2,T52.8X3,T52.8X4,--,--
26,A,0,Acetaldehyde,,(vapor),T52.8X1,T52.8X2,T52.8X3,T52.8X4,--,--
27,A,1,liquid,,,T65.891,T65.892,T65.893,T65.894,--,--
28,A,0,P-Acetamidophenol,,,T39.1X1,T39.1X2,T39.1X3,T39.1X4,T39.1X5,T39.1X6
29,A,0,Acetaminophen,,,T39.1X1,T39.1X2,T39.1X3,T39.1X4,T39.1X5,T39.1X6
30,A,0,Acetaminosalol,,,T39.1X1,T39.1X2,T39.1X3,T39.1X4,T39.1X5,T39.1X6
31,A,0,Acetanilide,,,T39.1X1,T39.1X2,T39.1X3,T39.1X4,T39.1X5,T39.1X6
32,A,0,Acetarsol,,,T37.3X1,T37.3X2,T37.3X3,T37.3X4,T37.3X5,T37.3X6
33,A,0,Acetazolamide,,,T50.2X1,T50.2X2,T50.2X3,T50.2X4,T50.2X5,T50.2X6
34,A,0,Acetiamine,,,T45.2X1,T45.2X2,T45.2X3,T45.2X4,T45.2X5,T45.2X6
35,A,0,Acetic,,,,,,,,
36,A,1,acid,,,T54.2X1,T54.2X2,T54.2X3,T54.2X4,--,--
37,A,2,with sodium acetate,,(ointment),T49.3X1,T49.3X2,T49.3X3,T49.3X4,T49.3X5,T49.3X6
38,A,2,ester,,(solvent)(vapor),T52.8X1,T52.8X2,T52.8X3,T52.8X4,--,--
