RowID,Letter,Level,Term,See,SeeAlso,NonEssModif,Code
1,A,0,Abandonment,,,(causing exposure to weather conditions) (with intent to injure or kill),X58
2,A,0,Abuse,,,(adult) (child) (mental) (physical) (sexual),X58
3,A,0,Accident,,,(to),X58
4,A,1,aircraft,,"Accident, transport, aircraft",(in transit) (powered),
5,A,2,"due to, caused by cataclysm","Forces of nature, by type",,,
6,A,1,animal-drawn vehicle,"Accident, transport, animal-drawn vehicle occupant",,,
7,A,1,animal-rider,"Accident, transport, animal-rider",,,
8,A,1,automobile,"Accident, transport, car occupant",,,
9,A,1,bare foot water skiier,,,,V94.4
10,A,1,"boat, boating",,"Accident, watercraft",,
11,A,2,striking swimmer,,,,
12,A,3,powered,,,,V94.11
13,A,3,unpowered,,,,V94.12
14,A,1,bus,"Accident, transport, bus occupant",,,
15,A,1,"cable car, not on rails",,,,V98.0
16,A,2,on rails,"Accident, transport, streetcar occupant",,,
17,A,1,car,"Accident, transport, car occupant",,,
18,A,1,"caused by, due to",,,,
19,A,2,animal NEC,,,,W64
20,A,2,chain hoist,,,,W24.0
21,A,2,cold,"Exposure, cold",,(excessive),
22,A,2,"corrosive liquid, substance",Table of Drugs and Chemicals,,,
23,A,2,cutting or piercing instrument,"Contact, with, by type of instrument",,,
24,A,2,drive belt,,,,W24.0
25,A,2,electric,,,,
26,A,3,current,"Exposure, electric current",,,
27,A,3,motor,,"Contact, with, by type of machine",,W31.3
28,A,4,current,,,(of),W86.8
29,A,2,environmental factor NEC,,,,X58
30,A,2,explosive material,Explosion,,,
31,A,2,"fire, flames","Exposure, fire",,,
32,A,2,firearm missile,"Discharge, firearm by type",,,
33,A,2,heat,Heat,,(excessive),
34,A,2,hot,"Contact, with, hot",,,
35,A,2,ignition,Ignition,,,
36,A,2,lifting device,,,,W24.0
37,A,2,lightning,,,,
38,A,3,causing fire,"Exposure, fire",,,
39,A,2,"machine, machinery","Contact, with, by type of machine",,,
40,A,2,natural factor NEC,,,,X58
41,A,2,pulley,,,(block),W24.0
42,A,2,radiation,Radiation,,,
43,A,2,steam,,,,X13.1
44,A,3,inhalation,,,,X13.0
45,A,3,pipe,,,,X16
46,A,2,thunderbolt,,,,
47,A,3,causing fire,"Exposure, fire",,,
48,A,2,transmission device,,,,W24.1
49,A,1,coach,"Accident, transport, bus occupant",,,
50,A,1,coal car,"Accident, transport, industrial vehicle occupant",,,
51,A,1,diving,,"Fall, into, water",,
52,A,2,with,,,,
53,A,3,drowning or submersion,Drowning,,,
54,A,1,forklift,"Accident, transport, industrial vehicle occupant",,,
55,A,1,heavy transport vehicle NOS,"Accident, transport, truck occupant",,,
56,A,1,ice yacht,,,,V98.2
57,A,1,in,,,,
58,A,2,"medical, surgical procedure",,,,
59,A,3,"as, or due to misadventure",Misadventure,,,
60,A,3,causing an abnormal reaction or later complication without mention of misadventure,,"Complication of or following, by type of procedure",,Y84.9
61,A,1,land yacht,,,,V98.1
62,A,1,late effect of,W00-X58 with 7th character S,,,
63,A,1,logging car,"Accident, transport, industrial vehicle occupant",,,
64,A,1,"machine, machinery",,"Contact, with, by type of machine",,
65,A,2,on board watercraft,,,,V93.69
66,A,3,explosion,"Explosion, in, watercraft",,,
67,A,3,fire,"Burn, on board watercraft",,,
68,A,3,powered craft,,,,V93.63
69,A,4,ferry boat,,,,V93.61
70,A,4,fishing boat,,,,V93.62
71,A,4,jetskis,,,,V93.63
72,A,4,liner,,,,V93.61
73,A,4,merchant ship,,,,V93.60
74,A,4,passenger ship,,,,V93.61
75,A,4,sailboat,,,,V93.64
76,A,1,mine tram,"Accident, transport, industrial vehicle occupant",,,
77,A,1,mobility scooter,"Accident, transport, pedestrian, conveyance, specified type NEC",,(motorized),
78,A,1,motor scooter,"Accident, transport, motorcycle",,,
79,A,1,motor vehicle NOS,,"Accident, transport",(traffic),V89.2
80,A,2,nontraffic,,,,V89.0
81,A,2,three-wheeled NOS,"Accident, transport, three-wheeled motor vehicle occupant",,,
82,A,1,motorcycle NOS,"Accident, transport, motorcycle",,,
83,A,1,nonmotor vehicle NOS,,"Accident, transport",(nontraffic),V89.1
84,A,2,traffic NOS,,,,V89.3
85,A,1,nontraffic,,,(victim's mode of transport NOS),V88.9
86,A,2,collision,,,(between),V88.7
87,A,3,bus and truck,,,,V88.5
88,A,3,car and:,,,,
89,A,4,bus,,,,V88.3
90,A,4,pickup,,,,V88.2
91,A,4,three-wheeled motor vehicle,,,,V88.0
92,A,4,train,,,,V88.6
93,A,4,truck,,,,V88.4
94,A,4,two-wheeled motor vehicle,,,,V88.0
95,A,4,van,,,,V88.2
96,A,3,specified vehicle NEC and:,,,,
97,A,4,three-wheeled motor vehicle,,,,V88.1
98,A,4,two-wheeled motor vehicle,,,,V88.1
99,A,2,known mode of transport,"Accident, transport, by type of vehicle",,,
100,A,2,noncollision,,,,V88.8
101,A,1,on board watercraft,,,,V93.89
102,A,2,powered craft,,,,V93.83
103,A,3,ferry boat,,,,V93.81
104,A,3,fishing boat,,,,V93.82
105,A,3,jetskis,,,,V93.83
106,A,3,liner,,,,V93.81
107,A,3,merchant ship,,,,V93.80
108,A,3,passenger ship,,,,V93.81
109,A,2,unpowered craft,,,,V93.88
110,A,3,canoe,,,,V93.85
111,A,3,inflatable,,,,V93.86
112,A,4,in tow,,,,
113,A,5,recreational,,,,V94.31
114,A,5,specified NEC,,,,V94.32
115,A,3,kayak,,,,V93.85
116,A,3,sailboat,,,,V93.84
117,A,3,surf-board,,,,V93.88
118,A,3,water skis,,,,V93.87
119,A,3,windsurfer,,,,V93.88
120,A,1,parachutist,,,,V97.29
121,A,2,entangled in object,,,,V97.21
122,A,2,injured on landing,,,,V97.22
123,A,1,pedal cycle,"Accident, transport, pedal cyclist",,,
124,A,1,pedestrian,,,(on foot),
125,A,2,with,,,,
126,A,3,another pedestrian,,,,W51
127,A,4,with fall,,,,W03
128,A,5,due to ice or snow,,,,W00.0
129,A,4,on pedestrian conveyance NEC,,,,V00.09
130,A,3,rider of,,,,
131,A,4,hoverboard,,,,V00.038
132,A,4,Segway,,,,V00.038
133,A,4,standing,,,,
134,A,5,electric scooter,,,,V00.031
135,A,5,micro-mobility pedestrian conveyance NEC,,,,V00.038
136,A,3,roller skater,,,(in-line),V00.01
137,A,3,skate boarder,,,,V00.02
138,A,3,transport vehicle,"Accident, transport",,,
139,A,2,on pedestrian conveyance,"Accident, transport, pedestrian, conveyance",,,
140,A,1,pick-up truck or van,"Accident, transport, pickup truck occupant",,,
141,A,1,quarry truck,"Accident, transport, industrial vehicle occupant",,,
142,A,1,railway vehicle,"Accident, transport, railway vehicle occupant",,(any) (in motion),
143,A,2,due to cataclysm,"Forces of nature, by type",,,
144,A,1,scooter,"Accident, transport, pedestrian, conveyance, scooter",,(non-motorized),
145,A,1,sequelae of,W00-X58 with 7th character S,,,
146,A,1,skateboard,"Accident, transport, pedestrian, conveyance, skateboard",,,
147,A,1,ski,"Accident, transport, pedestrian, conveyance",,(ing),
148,A,2,lift,,,,V98.3
149,A,1,specified cause NEC,,,,X58
150,A,1,streetcar,"Accident, transport, streetcar occupant",,,
151,A,1,traffic,,,(victim's mode of transport NOS),V87.9
152,A,2,collision,,,(between),V87.7
153,A,3,bus and truck,,,,V87.5
154,A,3,car and:,,,,
155,A,4,bus,,,,V87.3
156,A,4,pickup,,,,V87.2
157,A,4,three-wheeled motor vehicle,,,,V87.0
158,A,4,train,,,,V87.6
159,A,4,truck,,,,V87.4
160,A,4,two-wheeled motor vehicle,,,,V87.0
161,A,4,van,,,,V87.2
162,A,3,specified vehicle NEC,,,,V86.39
163,A,4,and,,,,
164,A,5,three-wheeled motor vehicle,,,,V87.1
165,A,5,two-wheeled motor vehicle,,,,V87.1
166,A,4,driver,,,,V86.09
167,A,4,person on outside,,,,V86.29
168,A,4,passenger,,,,V86.19
169,A,4,while boarding or alighting,,,,V86.49
170,A,2,known mode of transport,"Accident, transport, by type of vehicle",,,
171,A,2,noncollision,,,,V87.8
172,A,1,transport,,,(involving injury to),V99
173,A,2,18 wheeler,"Accident, transport, truck occupant",,,
174,A,2,agricultural vehicle occupant,,,(nontraffic),V84.9
175,A,3,driver,,,,V84.5
176,A,3,hanger-on,,,,V84.7
177,A,3,passenger,,,,V84.6
178,A,3,traffic,,,,V84.3
179,A,4,driver,,,,V84.0
180,A,4,hanger-on,,,,V84.2
181,A,4,passenger,,,,V84.1
182,A,3,while boarding or alighting,,,,V84.4
183,A,2,aircraft NEC,,,,V97.89
184,A,3,military NEC,,,,V97.818
185,A,4,with civilian aircraft,,,,V97.810
186,A,4,civilian injured by,,,,V97.811
187,A,3,occupant injured,,,(in),
188,A,4,nonpowered craft accident,,,,V96.9
189,A,5,balloon,,,,V96.00
190,A,6,collision,,,,V96.03
191,A,6,crash,,,,V96.01
192,A,6,explosion,,,,V96.05
193,A,6,fire,,,,V96.04
194,A,6,forced landing,,,,V96.02
195,A,6,specified type NEC,,,,V96.09
196,A,5,glider,,,,V96.20
197,A,6,collision,,,,V96.23
198,A,6,crash,,,,V96.21
199,A,6,explosion,,,,V96.25
200,A,6,fire,,,,V96.24
201,A,6,forced landing,,,,V96.22
202,A,6,specified type NEC,,,,V96.29
203,A,5,hang glider,,,,V96.10
204,A,6,collision,,,,V96.13
205,A,6,crash,,,,V96.11
206,A,6,explosion,,,,V96.15
207,A,6,fire,,,,V96.14
208,A,6,forced landing,,,,V96.12
209,A,6,specified type NEC,,,,V96.19
210,A,5,specified craft NEC,,,,V96.8
211,A,4,powered craft accident,,,,V95.9
212,A,5,fixed wing NEC,,,,
213,A,6,commercial,,,,V95.30
214,A,7,collision,,,,V95.33
215,A,7,crash,,,,V95.31
216,A,7,explosion,,,,V95.35
217,A,7,fire,,,,V95.34
218,A,7,forced landing,,,,V95.32
219,A,7,specified type NEC,,,,V95.39
220,A,6,private,,,,V95.20
221,A,7,collision,,,,V95.23
222,A,7,crash,,,,V95.21
223,A,7,explosion,,,,V95.25
224,A,7,fire,,,,V95.24
225,A,7,forced landing,,,,V95.22
226,A,7,specified type NEC,,,,V95.29
227,A,5,glider,,,,V95.10
228,A,6,collision,,,,V95.13
229,A,6,crash,,,,V95.11
230,A,6,explosion,,,,V95.15
231,A,6,fire,,,,V95.14
232,A,6,forced landing,,,,V95.12
233,A,6,specified type NEC,,,,V95.19
234,A,5,helicopter,,,,V95.00
235,A,6,collision,,,,V95.03
236,A,6,crash,,,,V95.01
237,A,6,explosion,,,,V95.05
238,A,6,fire,,,,V95.04
239,A,6,forced landing,,,,V95.02
240,A,6,specified type NEC,,,,V95.09
241,A,5,spacecraft,,,,V95.40
242,A,6,collision,,,,V95.43
243,A,6,crash,,,,V95.41
244,A,6,explosion,,,,V95.45
245,A,6,fire,,,,V95.44
246,A,6,forced landing,,,,V95.42
247,A,6,specified type NEC,,,,V95.49
248,A,5,specified craft NEC,,,,V95.8
249,A,5,ultralight,,,,V95.10
250,A,6,collision,,,,V95.13
251,A,6,crash,,,,V95.11
252,A,6,explosion,,,,V95.15
253,A,6,fire,,,,V95.14
254,A,6,forced landing,,,,V95.12
255,A,6,specified type NEC,,,,V95.19
256,A,4,specified accident NEC,,,,V97.0
257,A,4,while boarding or alighting,,,,V97.1
258,A,3,person,,,(injured by),
259,A,4,"falling from, in or on aircraft",,,,V97.0
260,A,4,machinery on aircraft,,,,V97.89
261,A,4,on ground with aircraft involvement,,,,V97.39
262,A,4,rotating propeller,,,,V97.32
263,A,4,struck by object falling from aircraft,,,,V97.31
264,A,4,sucked into aircraft jet,,,,V97.33
265,A,4,while boarding or alighting aircraft,,,,V97.1
266,A,2,airport,"Accident, transport, industrial vehicle occupant",,(battery-powered),
267,A,2,all-terrain vehicle occupant,,,(nontraffic),V86.95
268,A,3,driver,,,,V86.55
269,A,3,dune buggy,"Accident, transport, dune buggy occupant",,,
270,A,3,hanger-on,,,,V86.75
271,A,3,passenger,,,,V86.65
272,A,3,snowmobile,"Accident, transport, snowmobile occupant",,,
273,A,3,specified type NEC,,,,V86.99
274,A,4,driver,,,,V86.59
275,A,4,passenger,,,,V86.69
276,A,4,person on outside,,,,V86.79
277,A,3,traffic,,,,V86.35
278,A,4,driver,,,,V86.05
279,A,4,hanger-on,,,,V86.25
280,A,4,passenger,,,,V86.15
281,A,3,while boarding or alighting,,,,V86.45
282,A,2,ambulance occupant,,,(traffic),V86.31
283,A,3,driver,,,,V86.01
284,A,3,hanger-on,,,,V86.21
285,A,3,nontraffic,,,,V86.91
286,A,4,driver,,,,V86.51
287,A,4,hanger-on,,,,V86.71
288,A,4,passenger,,,,V86.61
289,A,3,passenger,,,,V86.11
290,A,3,while boarding or alighting,,,,V86.41
291,A,2,animal-drawn vehicle occupant,,,(in),V80.929
292,A,3,collision,,,(with),
293,A,4,animal,,,,V80.12
294,A,5,being ridden,,,,V80.711
295,A,4,animal-drawn vehicle,,,,V80.721
296,A,4,bus,,,,V80.42
297,A,4,car,,,,V80.42
298,A,4,fixed or stationary object,,,,V80.82
299,A,4,military vehicle,,,,V80.920
300,A,4,nonmotor vehicle,,,,V80.791
301,A,4,pedal cycle,,,,V80.22
302,A,4,pedestrian,,,,V80.12
303,A,4,pickup,,,,V80.42
304,A,4,railway train or vehicle,,,,V80.62
305,A,4,specified motor vehicle NEC,,,,V80.52
306,A,4,streetcar,,,,V80.731
307,A,4,truck,,,,V80.42
308,A,4,two- or three-wheeled motor vehicle,,,,V80.32
309,A,4,van,,,,V80.42
310,A,3,noncollision,,,,V80.02
311,A,3,specified circumstance NEC,,,,V80.928
312,A,2,animal-rider,,,,V80.919
313,A,3,collision,,,(with),
314,A,4,animal,,,,V80.11
315,A,5,being ridden,,,,V80.710
316,A,4,animal-drawn vehicle,,,,V80.720
317,A,4,bus,,,,V80.41
318,A,4,car,,,,V80.41
319,A,4,fixed or stationary object,,,,V80.81
320,A,4,military vehicle,,,,V80.910
321,A,4,nonmotor vehicle,,,,V80.790
322,A,4,pedal cycle,,,,V80.21
323,A,4,pedestrian,,,,V80.11
324,A,4,pickup,,,,V80.41
325,A,4,railway train or vehicle,,,,V80.61
326,A,4,specified motor vehicle NEC,,,,V80.51
327,A,4,streetcar,,,,V80.730
328,A,4,truck,,,,V80.41
329,A,4,two- or three-wheeled motor vehicle,,,,V80.31
330,A,4,van,,,,V80.41
331,A,3,noncollision,,,,V80.018
332,A,4,specified as horse rider,,,,V80.010
333,A,3,specified circumstance NEC,,,,V80.918
334,A,2,armored car,"Accident, transport, truck occupant",,,
335,A,2,battery-powered truck,"Accident, transport, industrial vehicle occupant",,(baggage) (mail),
336,A,2,bus occupant,,,,V79.9
337,A,3,collision,,,(with),
338,A,4,animal,,,(traffic),V70.9
339,A,5,being ridden,,,(traffic),V76.9
340,A,6,nontraffic,,,,V76.3
341,A,6,while boarding or alighting,,,,V76.4
342,A,5,nontraffic,,,,V70.3
343,A,5,while boarding or alighting,,,,V70.4
344,A,4,animal-drawn vehicle,,,(traffic),V76.9
345,A,5,nontraffic,,,,V76.3
346,A,5,while boarding or alighting,,,,V76.4
347,A,4,bus,,,(traffic),V74.9
348,A,5,nontraffic,,,,V74.3
349,A,5,while boarding or alighting,,,,V74.4
350,A,4,car,,,(traffic),V73.9
351,A,5,nontraffic,,,,V73.3
