RowID,Letter,Level,Term,See,SeeAlso,NonEssModif,Code
1,A,0,Aarskog's syndrome,,,,Q87.19
2,A,0,Abandonment,Maltreatment,,,
3,A,0,Abasia,,,(-astasia) (hysterical),F44.4
4,A,0,Abderhalden-Kaufmann-Lignac syndrome,,,(cystinosis),E72.04
5,A,0,"Abdomen, abdominal",,condition,,
6,A,1,acute,,,,R10.0
7,A,1,angina,,,,K55.1
8,A,1,muscle deficiency syndrome,,,,Q79.4
9,A,0,Abdominalgia,"Pain, abdominal",,,
10,A,0,"Abduction contracture, hip or other joint","Contraction, joint",,,
11,A,0,Aberrant,,"Malposition, congenital",(congenital),
12,A,1,adrenal gland,,,,Q89.1
13,A,1,artery,,,(peripheral),Q27.8
14,A,2,basilar NEC,,,,Q28.1
15,A,2,cerebral,,,,Q28.3
16,A,2,coronary,,,,Q24.5
17,A,2,digestive system,,,,Q27.8
18,A,2,eye,,,,Q15.8
19,A,2,lower limb,,,,Q27.8
20,A,2,precerebral,,,,Q28.1
21,A,2,pulmonary,,,,Q25.79
22,A,2,renal,,,,Q27.2
23,A,2,retina,,,,Q14.1
24,A,2,specified site NEC,,,,Q27.8
25,A,2,subclavian,,,,Q27.8
26,A,2,upper limb,,,,Q27.8
27,A,2,vertebral,,,,Q28.1
28,A,1,breast,,,,Q83.8
29,A,1,endocrine gland NEC,,,,Q89.2
30,A,1,hepatic duct,,,,Q44.5
31,A,1,pancreas,,,,Q45.3
32,A,1,parathyroid gland,,,,Q89.2
33,A,1,pituitary gland,,,,Q89.2
34,A,1,"sebaceous glands, mucous membrane, mouth, congenital",,,,Q38.6
35,A,1,spleen,,,,Q89.09
36,A,1,subclavian artery,,,,Q27.8
37,A,1,thymus,,,(gland),Q89.2
38,A,1,thyroid gland,,,,Q89.2
39,A,1,vein,,,(peripheral),Q27.8
40,A,2,cerebral,,,,Q28.3
41,A,2,digestive system,,,,Q27.8
42,A,2,lower limb,,,,Q27.8
43,A,2,precerebral,,,,Q28.1
44,A,2,specified site NEC,,,,Q27.8
45,A,2,upper limb,,,,Q27.8
46,A,0,Aberration,,,,
47,A,1,distantial,"Disturbance, visual",,,
48,A,1,mental,,,,F99
49,A,0,Abetalipoproteinemia,,,,E78.6
50,A,0,Abiotrophy,,,,R68.89
51,A,0,"Ablatio, ablation",,,,
52,A,1,retinae,"Detachment, retina",,,
53,A,0,"Ablepharia, ablepharon",,,,Q10.3
54,A,0,"Abnormal, abnormality, abnormalities",,Anomaly,,
55,A,1,acid-base balance,,,(mixed),E87.4
56,A,1,albumin,,,,R77.0
57,A,1,alphafetoprotein,,,,R77.2
58,A,1,alveolar ridge,,,,K08.9
59,A,1,anatomical relationship,,,,Q89.9
60,A,1,"apertures, congenital, diaphragm",,,,Q79.1
61,A,1,"atrial septal, specified NEC",,,,Q21.19
62,A,1,auditory perception,,,,H93.29-
63,A,2,diplacusis,Diplacusis,,,
64,A,2,hyperacusis,Hyperacusis,,,
65,A,2,recruitment,"Recruitment, auditory",,,
66,A,2,threshold shift,"Shift, auditory threshold",,,
67,A,1,autosomes,,,,Q99.9
68,A,2,fragile site,,,,Q95.5
69,A,1,basal metabolic rate,,,,R94.8
70,A,1,"biosynthesis, testicular androgen",,,,E29.1
71,A,1,bleeding time,,,,R79.1
72,A,1,blood amino-acid level,,,,R79.83
73,A,1,blood-gas level,,,,R79.81
74,A,1,blood level,,,(of),
75,A,2,cobalt,,,,R79.0
76,A,2,copper,,,,R79.0
77,A,2,iron,,,,R79.0
78,A,2,lithium,,,,R78.89
79,A,2,magnesium,,,,R79.0
80,A,2,mineral NEC,,,,R79.0
81,A,2,zinc,,,,R79.0
82,A,1,blood pressure,,,,
83,A,2,elevated,,,,R03.0
