Code,Description,ChapterID,SectionID
A00,Cholera,1,A00-A09
A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae",1,A00-A09
A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor",1,A00-A09
A00.9,"Cholera, unspecified",1,A00-A09
A01,Typhoid and paratyphoid fevers,1,A00-A09
A01.0,Typhoid fever,1,A00-A09
A01.00,"Typhoid fever, unspecified",1,A00-A09
A01.01,Typhoid meningitis,1,A00-A09
A01.02,Typhoid fever with heart involvement,1,A00-A09
A01.03,Typhoid pneumonia,1,A00-A09
A01.04,Typhoid arthritis,1,A00-A09
A01.05,Typhoid osteomyelitis,1,A00-A09
A01.09,Typhoid fever with other complications,1,A00-A09
A01.1,Paratyphoid fever A,1,A00-A09
A01.2,Paratyphoid fever B,1,A00-A09
A01.3,Paratyphoid fever C,1,A00-A09
A01.4,"Paratyphoid fever, unspecified",1,A00-A09
A02,Other salmonella infections,1,A00-A09
A02.0,Salmonella enteritis,1,A00-A09
A02.1,Salmonella sepsis,1,A00-A09
A02.2,Localized salmonella infections,1,A00-A09
A02.20,"Localized salmonella infection, unspecified",1,A00-A09
A02.21,Salmonella meningitis,1,A00-A09
A02.22,Salmonella pneumonia,1,A00-A09
A02.23,Salmonella arthritis,1,A00-A09
A02.24,Salmonella osteomyelitis,1,A00-A09
A02.25,Salmonella pyelonephritis,1,A00-A09
A02.29,Salmonella with other localized infection,1,A00-A09
A02.8,Other specified salmonella infections,1,A00-A09
A02.9,"Salmonella infection, unspecified",1,A00-A09
A03,Shigellosis,1,A00-A09
A03.0,Shigellosis due to Shigella dysenteriae,1,A00-A09
A03.1,Shigellosis due to Shigella flexneri,1,A00-A09
A03.2,Shigellosis due to Shigella boydii,1,A00-A09
A03.3,Shigellosis due to Shigella sonnei,1,A00-A09
A03.8,Other shigellosis,1,A00-A09
A03.9,"Shigellosis, unspecified",1,A00-A09
A04,Other bacterial intestinal infections,1,A00-A09
A04.0,Enteropathogenic Escherichia coli infection,1,A00-A09
A04.1,Enterotoxigenic Escherichia coli infection,1,A00-A09
A04.2,Enteroinvasive Escherichia coli infection,1,A00-A09
A04.3,Enterohemorrhagic Escherichia coli infection,1,A00-A09
A04.4,Other intestinal Escherichia coli infections,1,A00-A09
A04.5,Campylobacter enteritis,1,A00-A09
A04.6,Enteritis due to Yersinia enterocolitica,1,A00-A09
A04.7,Enterocolitis due to Clostridium difficile,1,A00-A09
