RowID,Level,Term,SeeAlso,NonEssModif,MalignantPrimary,MalignantSecondary,CaInSitu,Benign,UncertainBehavior,UnspecifiedBehavior
1,0,"Neoplasm, neoplastic",,,C80.1,C79.9,D09.9,D36.9,D48.9,D49.9
2,1,"abdomen, abdominal",,,C76.2,C79.8-,D09.8,D36.7,D48.7,D49.89
3,2,cavity,,,C76.2,C79.8-,D09.8,D36.7,D48.7,D49.89
4,2,organ,,,C76.2,C79.8-,D09.8,D36.7,D48.7,D49.89
5,2,viscera,,,C76.2,C79.8-,D09.8,D36.7,D48.7,D49.89
6,2,wall,,,C44.509,C79.2-,D04.5,D23.5,D48.5,D49.2
7,3,connective tissue,,,C49.4,C79.8-,-,D21.4,D48.1,D49.2
8,3,skin,,,C44.509,,,,,
9,4,basal cell carcinoma,,,C44.519,-,-,-,-,-
10,4,specified type NEC,,,C44.599,-,-,-,-,-
11,4,squamous cell carcinoma,,,C44.529,-,-,-,-,-
12,1,abdominopelvic,,,C76.8,C79.8-,-,D36.7,D48.7,D49.89
13,1,accessory sinus,"Neoplasm, sinus",,,,,,,
14,1,acoustic nerve,,,C72.4-,C79.49,-,D33.3,D43.3,D49.7
15,1,adenoid,,(pharynx) (tissue),C11.1,C79.89,D00.08,D10.6,D37.05,D49.0
16,1,adipose tissue,,,C49.4,C79.89,-,D21.9,D48.1,D49.2
17,1,adnexa,,(uterine),C57.4,C79.89,D07.39,D28.7,D39.8,D49.59
18,1,adrenal,,,C74.9-,C79.7-,D09.3,D35.0-,D44.1-,D49.7
19,2,capsule,,,C74.9-,C79.7-,D09.3,D35.0-,D44.1-,D49.7
20,2,cortex,,,C74.0-,C79.7-,D09.3,D35.0-,D44.1-,D49.7
21,2,gland,,,C74.9-,C79.7-,D09.3,D35.0-,D44.1-,D49.7
22,2,medulla,,,C74.1-,C79.7-,D09.3,D35.0-,D44.1-,D49.7
23,1,ala nasi,,(external),C44.301,C79.2,D04.39,D23.39,D48.5,D49.2
24,1,alimentary canal or tract NEC,,,C26.9,C78.80,D01.9,D13.99,D37.9,D49.0
25,1,alveolar,,,C03.9,C79.89,D00.03,D10.39,D37.09,D49.0
26,2,mucosa,,,C03.9,C79.89,D00.03,D10.39,D37.09,D49.0
27,3,lower,,,C03.1,C79.89,D00.03,D10.39,D37.09,D49.0
28,3,upper,,,C03.0,C79.89,D00.03,D10.39,D37.09,D49.0
