fips_county,fips_state,fips_county3,state,state_name,county,total_pop,white_pop,black_pop,asian_pop,native_pop,nhopi_pop,hispanic_pop,other_pop,twoormore_pop,pct_white,pct_black,pct_asian,pct_native,pct_nhopi,pct_hispanic,pct_other,pct_twoormore
01001,01,001,AL,Alabama,Autauga County,58805,41582,11352,873,184,22,2117,185,2490,70.7117,19.3045,1.4846,0.3129,0.0374,3.6,0.3146,4.2343
01003,01,003,AL,Alabama,Baldwin County,231767,186495,18001,2029,1291,122,12686,775,10368,80.4666,7.7669,0.8754,0.557,0.0526,5.4736,0.3344,4.4735
01005,01,005,AL,Alabama,Barbour County,25223,11086,11850,103,58,0,1510,63,553,43.9519,46.9809,0.4084,0.2299,0,5.9866,0.2498,2.1924
01007,01,007,AL,Alabama,Bibb County,22293,16442,4390,26,39,9,740,47,600,73.7541,19.6923,0.1166,0.1749,0.0404,3.3194,0.2108,2.6914
01009,01,009,AL,Alabama,Blount County,59134,49764,826,174,188,11,5771,100,2300,84.1546,1.3968,0.2942,0.3179,0.0186,9.7592,0.1691,3.8895
01011,01,011,AL,Alabama,Bullock County,10357,2281,7388,9,1,7,503,31,137,22.0238,71.3334,0.0869,0.0097,0.0676,4.8566,0.2993,1.3228
01013,01,013,AL,Alabama,Butler County,19051,9679,8389,143,23,5,260,46,506,50.8057,44.0344,0.7506,0.1207,0.0262,1.3648,0.2415,2.656
01015,01,015,AL,Alabama,Calhoun County,116441,79519,25365,1164,386,112,5010,317,4568,68.2912,21.7836,0.9996,0.3315,0.0962,4.3026,0.2722,3.923
01017,01,017,AL,Alabama,Chambers County,34772,18616,13441,385,71,11,1237,115,896,53.5373,38.6547,1.1072,0.2042,0.0316,3.5575,0.3307,2.5768
01019,01,019,AL,Alabama,Cherokee County,24971,22563,987,55,109,1,400,46,810,90.3568,3.9526,0.2203,0.4365,0.004,1.6019,0.1842,3.2438
01021,01,021,AL,Alabama,Chilton County,45014,34878,4040,176,112,5,4418,121,1264,77.4826,8.975,0.391,0.2488,0.0111,9.8147,0.2688,2.808
01023,01,023,AL,Alabama,Choctaw County,12665,7039,5217,19,24,0,113,13,240,55.5784,41.1923,0.15,0.1895,0,0.8922,0.1026,1.895
